"Rk","Player","Nation","Pos","Squad","Comp","Age","Born","MP","Starts","Min","X90s","Goals","Shots","SoT","SoT.","G.Sh","G.SoT","ShoDist","ShoFK","ShoPK","PKatt","PasTotCmp","PasTotAtt","PasTotCmp.","PasTotDist","PasTotPrgDist","PasShoCmp","PasShoAtt","PasShoCmp.","PasMedCmp","PasMedAtt","PasMedCmp.","PasLonCmp","PasLonAtt","PasLonCmp.","Assists","PasAss","Pas3rd","PPA","CrsPA","PasProg","PasAtt","PasLive","PasDead","PasFK","TB","PasPress","Sw","PasCrs","CK","CkIn","CkOut","CkStr","PasGround","PasLow","PasHigh","PaswLeft","PaswRight","PaswHead","TI","PaswOther","PasCmp","PasOff","PasOut","PasInt","PasBlocks","SCA","ScaPassLive","ScaPassDead","ScaDrib","ScaSh","ScaFld","ScaDef","GCA","GcaPassLive","GcaPassDead","GcaDrib","GcaSh","GcaFld","GcaDef","Tkl","TklWon","TklDef3rd","TklMid3rd","TklAtt3rd","TklDri","TklDriAtt","TklDri.","TklDriPast","Press","PresSucc","Press.","PresDef3rd","PresMid3rd","PresAtt3rd","Blocks","BlkSh","BlkShSv","BlkPass","Int","Tkl.Int","Clr","Err","Touches","TouDefPen","TouDef3rd","TouMid3rd","TouAtt3rd","TouAttPen","TouLive","DriSucc","DriAtt","DriSucc.","DriPast","DriMegs","Carries","CarTotDist","CarPrgDist","CarProg","Car3rd","CPA","CarMis","CarDis","RecTarg","Rec","Rec.","RecProg","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","AerWon","AerLost","AerWon.","sofifa_id","player_url","short_name","player_positions","overall","potential","value_eur","wage_eur","age","dob","height_cm","weight_kg","club_team_id","club_name","league_name","league_level","club_position","club_jersey_number","club_loaned_from","club_joined","club_contract_valid_until","nationality_id","nationality_name","nation_team_id","nation_position","nation_jersey_number","preferred_foot","weak_foot","skill_moves","international_reputation","work_rate","body_type","real_face","release_clause_eur","player_tags","player_traits","pace","shooting","passing","dribbling","defending","physic","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking_awareness","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes","goalkeeping_speed","ls","st","rs","lw","lf","cf","rf","rw","lam","cam","ram","lm","lcm","cm","rcm","rm","lwb","ldm","cdm","rdm","rwb","lb","lcb","cb","rcb","rb","gk","player_face_url","club_logo_url","club_flag_url","nation_logo_url","nation_flag_url"
27,"Sergio Agüero","ARG","FW","Barcelona","La Liga",33,1988,4,2,151,1.7,0.59,3.53,0.59,16.7,0.17,1,12.1,0,0,0,18.2,25.3,72.1,275.9,25.3,10.6,14.7,72,5.88,8.82,66.7,1.18,1.18,100,0,0.59,1.18,0,0,1.18,25.3,24.1,1.18,0,0.59,8.82,0,2.35,0,0,0,0,14.1,5.29,5.88,2.94,18.2,1.76,0,0.59,18.2,0,0,0,0,1.76,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.59,0,0,0.59,0,0.59,0,0.59,10.6,2.35,22.2,0,4.71,5.88,0,0,0,0,0,0.59,0,0,34.7,0,0.59,16.5,19.4,8.82,33.5,0.59,0.59,100,0.59,0,22.4,139.4,64.7,4.12,1.18,1.18,2.94,1.18,45.9,31.2,67.9,9.41,0,0,0,0.59,1.18,0.59,2.35,0.59,0,0,0,1.76,2.35,1.18,66.7,153079,"https://sofifa.com/player/153079/sergio-aguero/220002","S. Agüero","ST",87,87,5.1e+07,260000,33,1988-06-02,173,70,241,"FC Barcelona","Spain Primera Division",1,"ST",19,NA,2021-07-01,2023,52,"Argentina",1369,"SUB",9,"Right",4,4,4,"High/Medium","Unique","Yes",104600000,"#Dribbler, #Clinical Finisher, #Complete Forward","Injury Prone, Chip Shot (AI)",71,89,75,87,33,69,70,93,78,80,85,86,83,73,64,88,75,68,82,89,90,90,78,62,74,83,65,24,91,80,75,91,30,29,24,13,15,6,11,14,NA,"86+1","86+1","86+1","83",85,85,85,"83","84+3","84+3","84+3","80+3","75+3","75+3","75+3","80+3","57+3","57+3","57+3","57+3","57+3","54+3","50+3","50+3","50+3","54+3","21+3","https://cdn.sofifa.net/players/153/079/22_120.png","https://cdn.sofifa.net/teams/241/60.png","https://cdn.sofifa.net/flags/es.png","https://cdn.sofifa.net/teams/1369/60.png","https://cdn.sofifa.net/flags/ar.png"
41,"Nathan Aké","NED","DF","Manchester City","Premier League",27,1995,14,10,923,10.3,0.19,0.49,0.19,40,0.4,1,5.8,0,0,0,75.7,83,91.2,1402.3,405.6,32.1,34.1,94.3,35.3,38.3,92.2,7.77,9.51,81.6,0,0.19,5.15,0.29,0,3.01,83,78.9,4.08,1.55,0,6.89,0.49,0,0,0,0,0,69.5,6.5,6.99,60.3,15,2.72,2.52,0.19,75.7,0,0.97,0.68,0.78,0.29,0.29,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0.49,0.58,0.78,0.1,0.39,0.68,57.1,0.29,6.8,2.23,32.9,2.52,3.59,0.68,1.17,0.49,0,0.68,1.75,3.2,3.01,0,90.9,6.5,34.1,53,11.2,0.87,87,0,0.19,0,0,0,66,345.6,216.1,7.18,1.26,0,0.19,0.1,73.2,70.3,96,0.19,0,0,0,0.78,0.49,0,0,0.49,0,0,0,7.57,3.98,0.78,83.7,208920,"https://sofifa.com/player/208920/nathan-ake/220002","N. Aké","CB",78,81,16500000,95000,26,1995-02-18,180,75,10,"Manchester City","English Premier League",1,"SUB",6,NA,2020-08-05,2025,34,"Netherlands",NA,NA,NA,"Left",3,2,3,"Medium/High","Normal (170-185)","Yes",31800000,NA,NA,76,53,70,71,80,75,63,48,76,77,52,67,62,59,73,74,80,73,72,76,68,63,89,74,76,56,72,81,51,66,53,76,80,81,80,10,7,7,16,10,NA,"65+3","65+3","65+3","67",66,66,66,"67","68+3","68+3","68+3","69+3","71+3","71+3","71+3","69+3","76+3","77+3","77+3","77+3","76+3","77+3","78+3","78+3","78+3","77+3","18+3","https://cdn.sofifa.net/players/208/920/22_120.png","https://cdn.sofifa.net/teams/10/60.png","https://cdn.sofifa.net/flags/gb-eng.png",NA,"https://cdn.sofifa.net/flags/nl.png"
47,"David Alaba","AUT","DF","Real Madrid","La Liga",29,1992,30,30,2642,29.4,0.07,0.71,0.2,28.6,0.1,0.33,22,0.24,0,0,61.4,66.9,91.7,1143.1,371.3,25.5,26.5,96.5,27.6,29.3,94.3,7.35,9.69,75.8,0.1,0.75,4.49,0.61,0.17,3.47,66.9,64,2.86,1.36,0.07,5.37,0.65,1.09,0.1,0.1,0,0,57.1,4.18,5.58,55.2,8.54,1.36,1.16,0.1,61.4,0.17,0.48,0.65,0.68,1.56,1.26,0.07,0.03,0.14,0,0.07,0.27,0.24,0,0,0.03,0,0,0.85,0.61,0.44,0.34,0.07,0.31,0.54,56.3,0.24,7.59,2.82,37.2,3.4,3.4,0.78,1.26,0.58,0.03,0.68,1.39,2.24,2.28,0.07,73.8,8.74,33.6,36.5,10,1.67,70.7,0.17,0.27,62.5,0.17,0,54.4,331.9,181.2,4.29,1.5,0.27,0.41,0.24,59.4,57.4,96.7,1.84,0.07,0,0,0.61,0.44,0.07,1.09,0.61,0,0,0,6.43,0.78,0.78,50,197445,"https://sofifa.com/player/197445/david-alaba/220002","D. Alaba","CB, LB",84,84,35500000,195000,29,1992-06-24,180,78,243,"Real Madrid CF","Spain Primera Division",1,"LB",4,NA,2021-07-01,2026,4,"Austria",1322,"LB",8,"Left",4,3,4,"Medium/Medium","Normal (170-185)","Yes",72800000,NA,"Long Shot Taker (AI)",77,70,81,80,83,76,80,60,74,85,67,77,77,85,80,84,78,77,76,88,77,82,81,75,76,78,74,85,73,78,79,85,86,83,82,5,7,14,15,9,NA,"75+3","75+3","75+3","78",78,78,78,"78","79+3","79+3","79+3","79+3","81+3","81+3","81+3","79+3","82+2","83+1","83+1","83+1","82+2","82+2","82+2","82+2","82+2","82+2","18+3","https://cdn.sofifa.net/players/197/445/22_120.png","https://cdn.sofifa.net/teams/243/60.png","https://cdn.sofifa.net/flags/es.png","https://cdn.sofifa.net/teams/1322/60.png","https://cdn.sofifa.net/flags/at.png"
51,"Jordi Alba","ESP","DF","Barcelona","La Liga",33,1989,30,30,2644,29.4,0.07,1.05,0.2,19.4,0.06,0.33,23.5,0.03,0,0,79.5,94.2,84.3,1389.6,516.3,36.9,40.1,92.1,34.1,39.2,87,7.55,11.9,63.2,0.34,1.97,7.86,2.18,0.61,8.64,94.2,82.4,11.8,2.86,0.31,6.26,1.73,3.54,0.03,0,0,0,64.5,15.9,13.8,72.8,9.83,2.07,8.91,0.14,79.5,0.41,0.88,2.59,2.24,2.86,2.65,0.07,0.03,0.07,0.03,0,0.44,0.41,0,0,0.03,0,0,1.5,0.85,0.41,0.88,0.2,0.75,1.56,47.8,0.82,11,3.4,31.1,3.5,5.34,2.11,1.9,0.24,0,1.67,1.63,3.13,1.29,0.07,102.6,3.16,24.4,50.7,32.1,2.79,91.1,0.24,0.75,31.8,0.27,0.17,64.7,225.4,120.1,5.44,1.5,0.37,0.71,0.27,78,73.3,94.1,3.78,0.37,0,0,0.95,0.85,0.37,3.54,0.85,0,0,0,9.18,0.61,1.02,37.5,189332,"https://sofifa.com/player/189332/jordi-alba-ramos/220002","Jordi Alba","LB, LM",86,86,4.7e+07,2e+05,32,1989-03-21,170,68,241,"FC Barcelona","Spain Primera Division",1,"LB",18,NA,2012-07-01,2024,45,"Spain",1362,"LB",18,"Left",3,3,3,"High/Medium","Unique","Yes",96400000,"#Acrobat","Speed Dribbler (AI)",86,69,81,83,77,71,85,73,70,85,60,81,80,63,79,85,87,86,90,80,85,64,80,87,61,66,75,81,83,78,59,80,74,78,80,13,15,13,6,13,NA,"76+3","76+3","76+3","82",80,80,80,"82","81+3","81+3","81+3","83+3","81+3","81+3","81+3","83+3","82+3","80+3","80+3","80+3","82+3","82+3","76+3","76+3","76+3","82+3","19+3","https://cdn.sofifa.net/players/189/332/22_120.png","https://cdn.sofifa.net/teams/241/60.png","https://cdn.sofifa.net/flags/es.png","https://cdn.sofifa.net/teams/1362/60.png","https://cdn.sofifa.net/flags/es.png"
57,"Thiago Alcántara","ESP","MF","Liverpool","Premier League",31,1991,25,17,1534,17,0.06,1.47,0.35,24,0.04,0.17,18.2,0,0,0,77.9,87,89.6,1647.5,430.7,26.8,28.9,92.5,35.9,38.6,93,14.6,17.6,82.7,0.24,1.65,11.7,1.29,0.06,10.3,87,85.9,1.12,0.71,0.18,12.7,3.71,0.12,0.06,0,0.06,0,67,8.12,11.9,5.71,76.9,2.06,0.18,0.29,77.9,0.12,0.88,2.47,1.35,3.59,3.06,0,0.06,0.29,0,0.18,0.35,0.35,0,0,0,0,0,3.41,2.35,1,1.82,0.59,0.71,2.35,30,1.65,18.8,6.88,36.7,5.06,9.59,4.12,1.53,0.12,0,1.41,2.06,5.47,1.06,0.12,98,2.18,15.4,65.5,23.2,1.53,97.1,0.88,1.41,62.5,0.88,0,72.8,325.9,173.9,9.59,2.76,0.24,0.59,0.82,77.5,74.4,96,2.82,0.12,0,0,1.47,1.53,0,0.12,2.35,0,0,0,12.8,2.18,0.94,69.8,189509,"https://sofifa.com/player/189509/thiago-alcantara/220002","Thiago","CM, CDM",86,86,6.5e+07,180000,30,1991-04-11,174,70,9,"Liverpool","English Premier League",1,"LCM",6,NA,2020-09-18,2024,45,"Spain",1362,"SUB",10,"Right",3,5,3,"Medium/Medium","Normal (170-185)","Yes",120300000,"#Dribbler, #Acrobat","Injury Prone, Dives Into Tackles (AI), Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",63,72,86,90,70,66,78,68,54,90,82,90,85,77,89,92,72,55,91,84,90,75,80,74,59,73,72,82,75,85,75,88,67,71,68,6,11,7,9,13,NA,"74+3","74+3","74+3","81",80,80,80,"81","84+2","84+2","84+2","82+3","85+1","85+1","85+1","82+3","77+3","80+3","80+3","80+3","77+3","75+3","71+3","71+3","71+3","75+3","18+3","https://cdn.sofifa.net/players/189/509/22_120.png","https://cdn.sofifa.net/teams/9/60.png","https://cdn.sofifa.net/flags/gb-eng.png","https://cdn.sofifa.net/teams/1362/60.png","https://cdn.sofifa.net/flags/es.png"
63,"Trent Alexander-Arnold","ENG","DF","Liverpool","Premier League",23,1998,32,32,2853,31.7,0.06,1.61,0.44,27.5,0.04,0.14,23,0.16,0,0,63.5,85.4,74.4,1404.1,572.7,22.9,26.1,88,25.6,31.9,80.5,14.2,24.8,57.4,0.38,2.81,7.29,2.81,0.82,8.77,85.4,68,17.4,2.84,0.63,7.48,6.28,4.01,4.13,0.88,2.81,0.06,44.3,15,26.1,8.8,63.7,1.89,10.4,0.19,63.5,0.19,1.2,3.22,2.43,4.73,2.74,1.64,0.16,0.16,0.03,0,0.54,0.35,0.16,0,0.03,0,0,1.39,0.76,0.69,0.47,0.22,0.73,1.86,39,1.14,9.09,3.06,33.7,3.6,2.78,2.71,1.23,0.16,0.03,1.07,2.4,3.79,1.36,0.03,94.9,2.43,19.1,44.5,35.6,2.81,77.6,0.82,1.39,59.1,0.82,0,54.4,190.7,104.6,4.92,2.08,0.35,0.76,0.82,63.6,59.3,93.2,3.88,0.06,0,0,0.5,0.28,0.35,4.01,0.76,0,0,0,10.1,0.57,0.69,45,231281,"https://sofifa.com/player/231281/trent-alexander-arnold/220002","T. Alexander-Arnold","RB",87,92,1.14e+08,150000,22,1998-10-07,180,69,9,"Liverpool","English Premier League",1,"RB",66,NA,2015-10-07,2025,14,"England",1318,"SUB",22,"Right",4,3,3,"High/Medium","Unique","Yes",219500000,"#Crosser","Early Crosser, Long Passer (AI), Long Shot Taker (AI)",79,68,88,80,80,72,92,60,69,86,62,78,87,85,90,86,77,80,73,82,73,82,66,88,63,75,74,82,77,87,55,81,80,83,79,14,15,14,6,7,NA,"75+3","75+3","75+3","80",79,79,79,"80","81+3","81+3","81+3","82+3","84+3","84+3","84+3","82+3","84+3","83+3","83+3","83+3","84+3","83+3","78+3","78+3","78+3","83+3","19+3","https://cdn.sofifa.net/players/231/281/22_120.png","https://cdn.sofifa.net/teams/9/60.png","https://cdn.sofifa.net/flags/gb-eng.png","https://cdn.sofifa.net/teams/1318/60.png","https://cdn.sofifa.net/flags/gb-eng.png"
66,"Alisson","BRA","GK","Liverpool","Premier League",29,1992,36,36,3240,36,0,0,0,0,0,0,0,0,0,0,32.7,37.8,86.6,880.7,486.7,5.03,5.11,98.4,18.2,18.4,98.9,9.39,14.2,66.3,0.03,0.06,0.36,0,0,0,37.8,31.3,6.47,1.72,0.06,2.67,1.03,0,0,0,0,0,26.9,1.89,8.97,2.78,28.6,0.08,0,5.42,32.7,0,0.5,0.53,0,0.08,0.08,0,0,0,0,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.17,0.08,50,0.17,0,0,0.03,0,0,0.03,0,0,0.03,0.06,40.6,30.5,40.3,0.42,0,0,34.2,0.06,0.08,66.7,0.06,0,23.1,81.8,44.9,0,0,0,0.03,0,23.2,23,99.3,0,0,0,0,0,0.14,0,0,0,0,0,0.03,6.22,0,0,0,212831,"https://sofifa.com/player/212831/alisson-ramses-becker/220002","Alisson","GK",89,90,8.2e+07,190000,28,1992-10-02,191,91,9,"Liverpool","English Premier League",1,"GK",1,NA,2018-07-19,2027,54,"Brazil",NA,NA,NA,"Right",3,1,3,"Medium/Medium","Unique","Yes",157900000,NA,"GK Long Throw, Rushes Out Of Goal",NA,NA,NA,NA,NA,NA,17,13,29,45,20,27,19,18,44,30,56,47,40,87,37,63,52,32,78,14,27,11,13,66,23,65,15,19,16,86,86,84,90,89,52,"37+3","37+3","37+3","35",38,38,38,"35","40+3","40+3","40+3","38+3","40+3","40+3","40+3","38+3","31+3","35+3","35+3","35+3","31+3","30+3","31+3","31+3","31+3","30+3","87+3","https://cdn.sofifa.net/players/212/831/22_120.png","https://cdn.sofifa.net/teams/9/60.png","https://cdn.sofifa.net/flags/gb-eng.png",NA,"https://cdn.sofifa.net/flags/br.png"
72,"Marcos Alonso","ESP","DF","Chelsea","Premier League",31,1990,28,25,2167,24.1,0.17,1.78,0.41,23.3,0.09,0.4,18.9,0.37,0,0,47,60.4,77.7,817.2,280.7,23.1,26.1,88.4,18.6,22.1,84.2,4.48,9.75,46,0.17,1.83,2.82,1.37,0.62,4.44,60.4,48.2,12.2,1.08,0.04,9.71,2.07,2.66,2.7,1.41,0.95,0.08,36,12.1,12.3,44,4.56,1.58,8.42,0.12,47,0.12,1.04,1.99,1.74,3.69,2.53,0.62,0.17,0.21,0.08,0.08,0.37,0.29,0.04,0,0.04,0,0,1.87,1.16,0.87,0.54,0.46,0.58,1.33,43.8,0.75,12.4,3.53,28.3,5.02,4.19,3.24,1.62,0.25,0,1.37,2.74,4.61,2.28,0,74.1,3.11,18.7,26.9,32.2,3.2,61.9,0.79,1.62,48.7,0.83,0.08,43.4,204,106.6,5.1,1.2,0.46,1.12,1.33,49,43,87.7,4.56,0.33,0,0,1.37,1.41,0.12,2.66,1.16,0,0.04,0,8.96,2.45,1.08,69.4,192638,"https://sofifa.com/player/192638/marcos-alonso-mendoza/220002","Marcos Alonso","LWB, LB",79,79,1.5e+07,95000,30,1990-12-28,188,85,5,"Chelsea","English Premier League",1,"LWB",3,NA,2016-08-31,2023,45,"Spain",NA,NA,NA,"Left",3,3,2,"High/Low","Lean (185+)","Yes",27800000,"#FK Specialist","Long Shot Taker (AI)",58,74,78,77,75,77,83,70,83,82,76,78,85,86,71,83,61,55,64,80,55,84,73,82,76,75,75,72,77,67,63,75,68,80,77,9,7,13,9,12,NA,"76+2","76+2","76+2","75",76,76,76,"75","75+2","75+2","75+2","76+2","77+2","77+2","77+2","76+2","77+2","77+2","77+2","77+2","77+2","76+2","76+2","76+2","76+2","76+2","17+2","https://cdn.sofifa.net/players/192/638/22_120.png","https://cdn.sofifa.net/teams/5/60.png","https://cdn.sofifa.net/flags/gb-eng.png",NA,"https://cdn.sofifa.net/flags/es.png"
114,"Ronald Araújo","URU","DF","Barcelona","La Liga",23,1999,30,25,2272,25.2,0.16,0.75,0.4,52.6,0.21,0.4,11.4,0,0,0,58.9,65.2,90.4,1257.4,341.6,16.1,16.9,95.1,32.8,34.7,94.5,9.52,12.8,74.3,0,0.24,3.37,0.2,0.08,3.06,65.2,61.7,3.53,1.71,0.04,5.48,2.14,0.2,0,0,0,0,52.6,4.05,8.53,5.08,54.7,1.83,1.75,0.2,58.9,0.12,0.67,0.99,0.24,0.52,0.4,0,0,0.08,0.04,0,0,0,0,0,0,0,0,1.94,1.31,1.47,0.44,0.04,0.91,1.19,76.7,0.28,8.77,3.41,38.9,4.68,3.65,0.44,1.98,0.83,0.04,1.15,1.47,3.41,3.1,0.08,74.2,9.37,36,40.4,3.65,1.15,70.9,0.24,0.48,50,0.24,0,50.6,303.7,188.3,4.52,0.48,0.08,0.28,0.2,54.1,53.2,98.3,0.32,0.24,0,0,0.95,0.52,0.04,0.2,1.31,0,0,0,8.21,2.86,1.03,73.5,253163,"https://sofifa.com/player/253163/ronald-araujo/220002","R. Araujo","CB",77,86,2.2e+07,86000,22,1999-03-07,192,91,241,"FC Barcelona","Spain Primera Division",1,"SUB",4,NA,2018-08-29,2023,60,"Uruguay",NA,NA,NA,"Right",3,2,1,"Medium/Medium","Normal (185+)","No",49500000,NA,"Injury Prone",77,36,53,52,79,76,21,35,79,74,38,38,27,45,62,66,73,80,47,73,55,41,76,65,81,35,76,73,38,48,33,72,79,82,78,11,14,9,11,8,NA,"55+2","55+2","55+2","52",54,54,54,"52","55+2","55+2","55+2","54+2","61+2","61+2","61+2","54+2","66+2","72+2","72+2","72+2","66+2","70+2","77+2","77+2","77+2","70+2","18+2","https://cdn.sofifa.net/players/253/163/22_120.png","https://cdn.sofifa.net/teams/241/60.png","https://cdn.sofifa.net/flags/es.png",NA,"https://cdn.sofifa.net/flags/uy.png"
124,"Kepa Arrizabalaga","ESP","GK","Chelsea","Premier League",27,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0,28.8,34.8,82.7,690.8,323.5,7,7,100,14.8,14.8,100,6.75,12.8,52.9,0,0,0.25,0,0,0,34.8,27.5,7.25,2,0,4.5,1,0,0,0,0,0,23.8,1.75,9.25,3.25,24,0,0,7,28.8,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.3,32.5,37.3,0,0,0,30,0,0,0,0,0,21.3,63.3,29.3,0,0,0,0,0,20.3,20.3,100,0,0,0,0,0,0.25,0,0,0,0,0,0,4,0,0,0,206585,"https://sofifa.com/player/206585/kepa-arrizabalaga/220002","Kepa","GK",79,83,1.9e+07,76000,26,1994-10-03,186,88,5,"Chelsea","English Premier League",1,"SUB",1,NA,2018-08-08,2025,45,"Spain",NA,NA,NA,"Right",4,1,2,"Medium/Medium","Lean (185+)","Yes",36600000,NA,"GK Long Throw, Saves with Feet",NA,NA,NA,NA,NA,NA,25,11,18,51,18,10,25,19,52,33,34,33,41,68,39,64,71,37,51,14,18,21,15,57,24,63,19,18,16,78,77,85,76,81,34,"30+2","30+2","30+2","30",32,32,32,"30","36+2","36+2","36+2","33+2","39+2","39+2","39+2","33+2","31+2","35+2","35+2","35+2","31+2","30+2","28+2","28+2","28+2","30+2","77+2","https://cdn.sofifa.net/players/206/585/22_120.png","https://cdn.sofifa.net/teams/5/60.png","https://cdn.sofifa.net/flags/gb-eng.png",NA,"https://cdn.sofifa.net/flags/es.png"
